"Sample","DropVariable","TrainingVariableSet","TrainingEvents","AddVariable","BackgroundSample","FlattenBy","Performance","BDTLeafMinFraction","VariableTransform","ExtraFlags","BDTrainingTreeDepth","JobId"
"1000pi50lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.37962567685982","0.5","","","50","531"
"1000pi150lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.629590167996881","0.5","","","50","531"
"1000pi150lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.615548329886075","0.5","","","50","531"
"1000pi400lt9mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.805373635600198","0.5","","","50","531"
"1000pi400lt5mW","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.791714563128077","0.5","","","50","531"
"1000pi400lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.763051743769823","0.5","","","50","531"
"1000pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.688961400515689","0.5","","","50","531"
"600pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.552446827962923","0.5","","","50","531"
"200pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.224701445631973","0.5","","","50","531"
"400pi50lt5m","","DefaultAllpT","1500000","","UseBackgroundAll","JetPt","0.375293531855761","0.5","","","50","531"
